wlBest Fit  Median  -1 Sig  +1 Sig  -2 Sig  +2 sig  
       1.8932223     0.025475633     0.025486931     0.025469504     0.025502361     0.025453486     0.025511777
       1.8925057     0.025475211     0.025486653     0.025468850     0.025502836     0.025451715     0.025512062
       1.8917896     0.025474753     0.025486873     0.025468532     0.025503275     0.025450862     0.025511886
       1.8910741     0.025474108     0.025486001     0.025468019     0.025502238     0.025451131     0.025511243
       1.8903592     0.025474071     0.025485710     0.025467927     0.025501979     0.025451284     0.025511162
       1.8896447     0.025475614     0.025486875     0.025468983     0.025503081     0.025451719     0.025512208
       1.8889309     0.025477233     0.025487588     0.025469787     0.025503715     0.025452520     0.025513137
       1.8882175     0.025478975     0.025487753     0.025470242     0.025503681     0.025454210     0.025513508
       1.8875047     0.025477967     0.025486204     0.025468993     0.025502556     0.025453287     0.025512075
       1.8867925     0.025474065     0.025483382     0.025465751     0.025499361     0.025449806     0.025509536
       1.8860807     0.025473317     0.025482842     0.025465247     0.025498651     0.025448846     0.025508829
       1.8853695     0.025474782     0.025483970     0.025466116     0.025499687     0.025449597     0.025509829
       1.8846589     0.025475034     0.025484514     0.025466406     0.025500599     0.025449762     0.025510405
       1.8839488     0.025474730     0.025485003     0.025466283     0.025500815     0.025449843     0.025510363
       1.8832392     0.025475656     0.025485682     0.025467058     0.025501649     0.025450035     0.025511175
       1.8825301     0.025476927     0.025486664     0.025468104     0.025502644     0.025450457     0.025511985
       1.8818216     0.025477930     0.025487515     0.025468666     0.025503459     0.025450769     0.025512753
       1.8811136     0.025478894     0.025488295     0.025469479     0.025504375     0.025451120     0.025513487
       1.8804062     0.025479979     0.025488951     0.025470045     0.025505059     0.025451595     0.025514419
       1.8796992     0.025481092     0.025489627     0.025470631     0.025505714     0.025452619     0.025515147
       1.8789929     0.025482683     0.025490821     0.025471802     0.025506917     0.025454460     0.025516203
       1.8782870     0.025484180     0.025491677     0.025473020     0.025507791     0.025455711     0.025517369
       1.8775817     0.025485074     0.025492253     0.025473849     0.025508465     0.025457051     0.025517990
       1.8768769     0.025486203     0.025493249     0.025474714     0.025509132     0.025458275     0.025518624
       1.8761726     0.025488190     0.025494775     0.025475948     0.025510527     0.025458796     0.025520364
       1.8754689     0.025489643     0.025495785     0.025476919     0.025511733     0.025459849     0.025521411
       1.8747657     0.025489811     0.025495684     0.025477051     0.025511699     0.025460259     0.025521213
       1.8740630     0.025491160     0.025496385     0.025477759     0.025512236     0.025461001     0.025522310
       1.8733608     0.025494525     0.025498219     0.025479124     0.025513914     0.025462879     0.025524401
       1.8726592     0.025496936     0.025499579     0.025479938     0.025515510     0.025464383     0.025525888
       1.8719581     0.025498146     0.025500465     0.025480635     0.025516257     0.025465416     0.025526880
       1.8712575     0.025500105     0.025501631     0.025481816     0.025517738     0.025466088     0.025528179
       1.8705574     0.025502777     0.025503332     0.025483122     0.025519572     0.025466777     0.025529873
       1.8698579     0.025508353     0.025507284     0.025486764     0.025523682     0.025470035     0.025534963
       1.8691589     0.025516030     0.025512644     0.025491438     0.025529526     0.025474579     0.025542169
       1.8684604     0.025520111     0.025515393     0.025493795     0.025532902     0.025476529     0.025545935
       1.8677624     0.025522209     0.025517092     0.025495379     0.025534694     0.025477484     0.025547874
       1.8670650     0.025521611     0.025516600     0.025494978     0.025534191     0.025477170     0.025547352
       1.8663680     0.025519893     0.025515325     0.025493716     0.025532908     0.025476457     0.025545667
       1.8656716     0.025516600     0.025514139     0.025492776     0.025530698     0.025476313     0.025542353
       1.8649758     0.025512827     0.025512104     0.025491755     0.025528714     0.025474278     0.025539847
       1.8642804     0.025509686     0.025509991     0.025489852     0.025526102     0.025472334     0.025537298
       1.8635855     0.025506683     0.025507694     0.025487842     0.025523660     0.025470477     0.025534793
       1.8628912     0.025505443     0.025506609     0.025486745     0.025522707     0.025469761     0.025533658
       1.8621974     0.025504455     0.025505809     0.025485976     0.025521929     0.025469163     0.025532798
       1.8615041     0.025503789     0.025505284     0.025485375     0.025521352     0.025469064     0.025532244
       1.8608113     0.025503149     0.025504775     0.025484864     0.025520871     0.025468751     0.025531625
       1.8601190     0.025505356     0.025505853     0.025485949     0.025522149     0.025469527     0.025533227
       1.8594273     0.025507623     0.025507258     0.025486968     0.025523477     0.025470026     0.025534401
       1.8587361     0.025509030     0.025508508     0.025488194     0.025524574     0.025471306     0.025535615
       1.8580453     0.025510326     0.025509588     0.025489305     0.025525544     0.025472414     0.025536823
       1.8573551     0.025509914     0.025509361     0.025488889     0.025525447     0.025472122     0.025536523
       1.8566654     0.025509253     0.025508877     0.025488567     0.025524975     0.025471781     0.025536002
       1.8559762     0.025506330     0.025506597     0.025486530     0.025522535     0.025470833     0.025533922
       1.8552876     0.025504113     0.025504679     0.025485137     0.025520843     0.025469930     0.025532095
       1.8545994     0.025506367     0.025505501     0.025485595     0.025521487     0.025470645     0.025532986
       1.8539118     0.025508247     0.025506245     0.025486394     0.025522368     0.025471153     0.025533786
       1.8532246     0.025508302     0.025506560     0.025486751     0.025522758     0.025471179     0.025534038
       1.8525380     0.025508130     0.025506768     0.025486932     0.025522887     0.025471466     0.025534111
       1.8518519     0.025507046     0.025506274     0.025486288     0.025522240     0.025471058     0.025533599
       1.8511662     0.025506634     0.025506088     0.025486171     0.025522129     0.025471185     0.025533676
       1.8504811     0.025508499     0.025507776     0.025487698     0.025524142     0.025472663     0.025535262
       1.8497965     0.025509981     0.025509017     0.025489411     0.025525404     0.025474505     0.025536551
       1.8491124     0.025510332     0.025509421     0.025489769     0.025525655     0.025474709     0.025536842
       1.8484288     0.025510077     0.025509353     0.025489956     0.025525714     0.025474943     0.025536843
       1.8477458     0.025508224     0.025508720     0.025489013     0.025524814     0.025474994     0.025535872
       1.8470632     0.025504603     0.025506393     0.025486608     0.025522613     0.025473704     0.025533051
       1.8463811     0.025496730     0.025500731     0.025482104     0.025516502     0.025468397     0.025526824
       1.8456995     0.025490589     0.025496965     0.025478227     0.025511867     0.025464460     0.025522140
       1.8450185     0.025488296     0.025495202     0.025476539     0.025510353     0.025461992     0.025520696
       1.8443379     0.025486841     0.025494298     0.025475446     0.025509237     0.025461122     0.025519803
       1.8436578     0.025487140     0.025494430     0.025475574     0.025509564     0.025461254     0.025519947
       1.8429783     0.025487071     0.025494357     0.025475477     0.025509461     0.025461026     0.025519690
       1.8422992     0.025486267     0.025493754     0.025474876     0.025508643     0.025460438     0.025518857
       1.8416206     0.025486052     0.025493498     0.025474688     0.025508397     0.025460309     0.025518588
       1.8409426     0.025486976     0.025494182     0.025475309     0.025509175     0.025460929     0.025519318
       1.8402650     0.025487200     0.025494336     0.025475419     0.025509227     0.025461091     0.025519643
       1.8395879     0.025486096     0.025493371     0.025474744     0.025508518     0.025460442     0.025518841
       1.8389114     0.025485507     0.025492824     0.025474391     0.025508169     0.025460419     0.025518352
       1.8382353     0.025485885     0.025493133     0.025474654     0.025508304     0.025460914     0.025518465
       1.8375597     0.025485381     0.025492880     0.025474444     0.025507972     0.025460784     0.025518534
       1.8368846     0.025483207     0.025491442     0.025473259     0.025506492     0.025459850     0.025516913
       1.8362101     0.025481020     0.025489517     0.025471719     0.025504997     0.025458905     0.025514781
       1.8355360     0.025478806     0.025487581     0.025469684     0.025502868     0.025456998     0.025512701
       1.8348624     0.025477397     0.025486129     0.025468421     0.025501551     0.025455552     0.025511331
       1.8341893     0.025477594     0.025486373     0.025468544     0.025501777     0.025455443     0.025511438
       1.8335167     0.025478442     0.025487165     0.025469373     0.025502567     0.025455953     0.025512282
       1.8328446     0.025480652     0.025488843     0.025471015     0.025504064     0.025457713     0.025514344
       1.8321730     0.025481434     0.025489624     0.025471955     0.025504872     0.025458180     0.025515472
       1.8315018     0.025479044     0.025488682     0.025471108     0.025504217     0.025456273     0.025513972
       1.8308312     0.025477027     0.025487735     0.025470177     0.025503269     0.025455120     0.025512860
       1.8301611     0.025475906     0.025486818     0.025469375     0.025502309     0.025454426     0.025512255
       1.8294914     0.025474906     0.025486100     0.025468731     0.025501354     0.025454270     0.025511279
       1.8288222     0.025474225     0.025485598     0.025468445     0.025500669     0.025454611     0.025510674
       1.8281536     0.025472603     0.025484403     0.025467424     0.025499738     0.025453937     0.025509355
       1.8274854     0.025468196     0.025481629     0.025464420     0.025497055     0.025450051     0.025505577
       1.8268177     0.025464466     0.025479417     0.025462030     0.025494563     0.025446931     0.025502933
